name,gender,attendance_rate,avg_grade,absences_last_month,distance_km,num_siblings,fee_arrears,dropped_out
Linet Rotich,F,80.8,69.9,11,1.9,7,2970,0
Caroline Koech,F,74.5,79.1,12,0.7,5,1732,0
Quinter Njoroge,M,44.0,61.3,10,0.6,2,119,1
Quinter Juma,M,73.7,34.7,11,5.2,7,2077,1
Yvonne Kibet,F,55.4,65.2,0,10.4,6,4342,0
Thomas Koech,M,85.0,46.3,0,7.8,2,926,0
Yvonne Kamau,F,80.5,48.5,10,0.8,0,4932,0
James Mwangi,F,60.9,68.6,12,3.9,3,870,0
Kezia Kariuki,M,67.3,80.3,1,0.6,1,5207,0
David Adhiambo,M,59.1,58.4,10,0.2,2,267,0
Linet Koech,F,74.1,63.6,14,5.3,1,6034,0
Wanjiku Kibet,M,89.3,88.6,11,3.8,4,2075,0
Aisha Simiyu,M,60.2,62.3,11,0.4,0,1055,0
Esther Kariuki,M,82.6,100.0,5,0.2,3,924,0
Amina Kariuki,M,67.0,68.2,8,22.9,4,1697,1
Robert Moraa,F,63.1,26.3,3,0.2,4,20000,1
Irene Adhiambo,F,73.4,71.6,2,2.9,5,747,0
Yvonne Mutua,F,59.5,64.9,11,3.5,4,327,0
Zainab Njoroge,F,66.7,81.2,7,0.6,0,2639,0
Sharon Adhiambo,M,57.0,70.1,10,0.9,2,2011,0
Purity Kariuki,M,100.0,55.5,9,2.2,0,2228,0
Caroline Kariuki,F,75.5,36.0,13,7.2,2,3298,0
Vincent Otieno,F,64.5,54.2,8,3.5,4,932,0
James Osei,M,78.2,42.7,11,5.1,4,7246,0
Boniface Chebet,F,73.3,47.6,10,21.1,7,1716,0
David Rotich,F,71.7,68.6,4,7.3,3,415,0
Francis Koech,M,84.2,88.1,8,2.8,2,4068,0
Linet Mwangi,F,86.4,65.1,1,3.0,4,3091,0
Robert Odhiambo,M,67.0,36.5,2,4.8,5,1138,0
Grace Koech,M,66.4,66.0,6,5.5,7,2915,0
David Nyambura,F,70.9,79.5,6,3.5,1,745,0
Amina Simiyu,M,40.5,47.0,5,5.2,7,1765,1
Robert Achieng,F,52.3,55.6,5,0.1,3,6890,1
Zainab Adhiambo,M,95.5,58.3,1,2.8,0,430,0
Xavier Achieng,F,99.7,43.9,9,1.6,3,1467,0
Wanjiku Achieng,F,71.3,69.7,5,0.7,1,5163,0
James Kamau,F,83.6,55.8,3,0.5,7,10469,0
Francis Mutua,M,79.7,65.6,11,4.6,2,1815,0
Cynthia Koech,M,100.0,42.0,2,3.7,0,2122,0
Francis Otieno,F,91.8,50.1,12,1.5,0,2547,0
Xavier Koech,M,73.1,71.0,10,3.2,2,8080,0
Oliver Simiyu,F,60.7,51.3,12,3.4,6,5860,0
Thomas Mwangi,F,50.9,89.1,1,1.1,6,561,1
Francis Mutua,M,78.1,50.8,0,5.3,3,1722,0
Yvonne Auma,F,63.7,62.0,10,7.6,4,1871,0
Robert Odhiambo,M,53.7,74.8,10,7.8,6,4669,1
Oliver Auma,F,65.3,32.5,4,4.6,3,2771,1
Robert Nyambura,M,58.8,26.3,1,3.6,6,3186,1
Irene Adhiambo,F,100.0,30.5,1,0.3,1,18960,1
Brian Njoroge,F,88.2,80.7,6,1.7,5,234,0
Thomas Kamau,M,74.9,48.1,7,0.5,4,757,0
Kezia Odhiambo,F,97.2,100.0,12,16.6,3,1572,0
Francis Mwangi,F,76.2,47.8,9,0.7,5,1282,0
Esther Koech,M,62.1,61.3,7,0.8,5,66,0
Amina Kamau,F,97.8,85.8,13,11.0,7,289,0
Xavier Osei,M,83.1,94.1,3,14.4,6,3427,0
Sharon Kamau,F,59.4,95.1,14,7.3,7,6344,0
Usha Nyambura,M,72.1,79.8,13,0.0,2,2166,0
Caroline Kibet,F,61.9,76.4,0,0.0,1,2324,0
Usha Adhiambo,F,54.3,68.7,10,2.4,1,883,1
David Rotich,F,88.9,72.0,6,0.8,1,4381,0
Vincent Nyambura,M,100.0,48.1,0,0.1,4,4180,0
Robert Osei,M,54.0,43.3,10,3.1,0,2663,1
Dennis Osei,M,83.4,57.9,3,14.3,4,717,0
Xavier Chebet,M,65.2,54.9,7,2.0,3,306,0
David Muthoni,F,67.7,49.8,1,5.4,5,199,0
Kezia Adhiambo,F,66.1,70.5,5,5.3,5,2695,0
Boniface Kibet,M,62.0,75.2,12,1.4,7,5230,0
Moses Njenga,M,75.7,59.6,5,5.3,0,5863,0
Xavier Simiyu,M,62.5,84.6,11,1.2,3,1869,0
Xavier Moraa,F,79.1,37.4,8,0.7,0,4601,0
Zainab Kamau,M,74.2,54.5,4,6.0,5,8806,0
Purity Kariuki,M,71.4,45.1,9,0.6,6,965,0
Naomi Osei,F,61.4,24.4,3,28.9,4,1522,1
Quinter Koech,F,66.3,56.5,4,1.0,1,8042,0
Sharon Otieno,M,86.3,55.8,11,4.5,5,1239,0
Kezia Muthoni,F,82.5,85.2,11,2.6,2,7356,0
Quinter Moraa,M,60.3,69.4,9,0.7,1,11897,0
Grace Mwangi,F,76.5,39.6,14,0.1,5,3252,0
Boniface Koech,M,86.3,91.4,10,4.9,4,5093,0
Cynthia Nyambura,M,50.0,80.0,4,8.2,0,4153,1
James Mwangi,M,83.2,68.5,7,9.2,6,3607,0
Naomi Rotich,M,65.1,53.9,9,3.3,6,1100,0
Oliver Mwangi,F,83.6,40.7,11,7.5,1,176,0
Dennis Mwangi,F,63.6,51.3,7,5.6,4,1260,0
Zainab Wekesa,F,47.9,77.6,1,6.4,6,3298,1
Amina Adhiambo,F,50.6,91.9,6,3.4,6,325,1
Caroline Mwangi,M,75.7,85.8,7,5.0,3,36,0
Brian Owino,M,78.9,49.2,10,8.2,2,451,0
Dennis Adhiambo,F,61.4,37.8,5,2.5,1,3774,0
Grace Odhiambo,F,84.6,60.5,4,8.2,0,10813,0
Thomas Achieng,F,50.1,26.2,10,4.5,6,12235,1
Vincent Kamau,F,74.0,63.8,8,0.9,3,2044,0
Naomi Owino,F,56.8,55.3,12,0.1,4,6106,0
Amina Achieng,M,65.2,49.6,2,2.3,6,4005,0
Thomas Juma,M,75.7,29.3,11,4.0,7,2086,1
Sharon Waweru,M,62.1,67.2,12,9.2,2,2551,0
Boniface Njoroge,F,69.2,48.4,12,0.7,0,443,0
Moses Waweru,F,90.1,36.9,9,8.1,4,8326,0
Irene Achieng,F,66.3,6.3,3,9.9,4,1301,1
Vincent Auma,F,87.5,57.5,8,0.8,1,1773,0
Linet Mwangi,M,58.1,89.9,5,9.5,6,3341,0
Kezia Odhiambo,M,82.9,87.9,7,23.8,1,1219,0
Irene Kariuki,F,96.6,49.8,6,6.5,0,880,0
Sharon Njenga,M,37.9,47.2,10,7.7,7,2991,1
Dennis Mutua,M,63.0,66.4,1,25.9,6,76,1
Grace Njenga,F,83.7,40.0,2,4.7,5,3827,0
Esther Njenga,F,72.0,63.4,0,1.8,6,2165,0
Amina Wekesa,F,80.6,71.8,8,9.1,7,2792,0
Esther Odhiambo,F,65.9,80.1,12,4.8,5,2998,0
Sharon Moraa,F,76.3,56.2,6,4.4,4,2246,0
Esther Owino,F,72.7,54.3,0,1.5,1,2621,0
Zainab Moraa,M,92.5,42.2,2,7.1,2,3454,0
Dennis Njoroge,M,78.8,43.1,3,0.4,6,4197,0
Caroline Osei,F,80.1,53.9,3,12.9,2,3900,0
Brian Mutua,M,68.8,64.6,4,2.0,6,6112,0
Thomas Auma,F,67.7,74.4,13,0.7,4,630,0
Kezia Mwangi,F,68.5,43.5,2,2.9,1,1538,0
Xavier Adhiambo,F,80.9,84.9,2,0.2,0,8858,0
David Muthoni,F,68.7,53.1,0,5.8,0,1515,0
David Simiyu,M,79.3,57.6,6,11.7,0,400,0
Yvonne Simiyu,F,100.0,44.6,10,9.1,6,2236,0
Robert Adhiambo,M,88.1,14.4,9,0.7,6,348,1
Brian Njenga,F,70.1,73.9,13,0.7,2,680,0
Amina Wekesa,F,93.0,71.3,0,8.4,1,19165,1
Irene Otieno,F,68.9,52.9,1,12.9,7,2338,0
Yvonne Odhiambo,M,44.4,59.2,12,3.1,6,1002,1
Caroline Mwangi,F,59.9,67.3,3,3.5,1,15763,1
Amina Mwangi,F,46.9,29.9,12,1.9,2,10194,1
Usha Achieng,F,69.7,48.5,3,11.2,6,1743,0
Boniface Mutua,M,75.3,72.3,4,5.2,0,905,0
Oliver Otieno,M,100.0,35.4,10,1.7,0,5468,0
Yvonne Muthoni,M,79.9,63.3,1,1.8,4,3772,0
Irene Moraa,F,71.7,33.6,3,11.1,5,3484,1
Irene Kibet,M,87.4,66.4,0,0.1,3,6708,0
Grace Adhiambo,F,41.8,57.4,1,1.9,7,3508,1
Wanjiku Rotich,M,78.5,28.9,0,4.0,5,1001,1
Yvonne Achieng,M,86.6,79.0,9,0.8,6,3551,0
Francis Kibet,F,52.8,44.8,9,0.5,1,1095,1
Brian Achieng,M,92.2,43.4,12,8.4,6,4272,0
Boniface Owino,F,80.1,61.6,3,11.2,1,2901,0
Amina Wekesa,F,68.8,78.7,3,8.7,1,242,0
Boniface Kariuki,M,84.5,39.7,6,11.5,5,2157,0
Esther Kamau,F,100.0,59.1,9,4.0,3,1262,0
Irene Chebet,F,77.7,65.7,10,8.4,4,1195,0
David Waweru,M,78.7,70.5,10,2.4,5,2766,0
Usha Mutua,M,68.1,61.2,8,5.5,3,1167,0
Hassan Waweru,F,62.3,51.4,8,22.5,0,4500,1
Purity Juma,M,87.5,43.1,4,1.3,0,220,0
Boniface Waweru,F,62.2,59.6,9,2.5,1,3240,0
Dennis Njenga,F,76.1,38.7,0,3.3,2,4970,0
Vincent Rotich,M,67.8,5.4,0,0.7,6,3352,1
Purity Wekesa,M,82.2,65.9,5,0.4,6,2063,0
Hassan Kariuki,M,80.0,74.3,1,8.9,1,9006,0
James Muthoni,M,90.6,15.5,7,18.8,2,1070,1
Caroline Auma,F,67.3,39.8,12,2.6,7,58,0
James Mwangi,F,71.0,69.1,8,0.5,3,1697,0
Grace Auma,M,60.3,95.0,12,0.3,7,101,0
Amina Odhiambo,M,68.3,58.4,3,11.1,7,9233,0
Usha Osei,F,80.7,44.9,4,3.1,0,707,0
Oliver Waweru,F,86.4,54.7,10,1.9,7,4667,0
Boniface Nyambura,F,61.2,82.7,7,3.2,6,4469,0
James Kibet,F,88.0,46.4,2,1.9,5,737,0
Irene Kamau,M,95.3,43.6,4,3.4,2,2912,0
Boniface Chebet,F,81.2,49.3,2,9.8,3,148,0
Purity Osei,F,100.0,40.8,11,4.5,0,1982,0
Brian Odhiambo,M,63.4,60.2,9,5.9,7,44,0
Caroline Mwangi,F,56.3,87.2,2,2.3,5,7620,0
Vincent Nyambura,F,48.3,63.8,2,6.7,2,11200,1
Amina Simiyu,M,97.4,53.5,12,5.5,1,754,0
Amina Muthoni,M,84.8,52.7,11,0.6,1,700,0
Purity Mutua,M,74.2,29.9,6,4.3,1,4204,1
Quinter Kibet,F,79.2,73.9,14,1.5,6,877,0
Purity Simiyu,F,58.1,56.6,6,8.2,3,6764,0
Kezia Owino,M,100.0,54.8,6,2.8,1,2559,0
Quinter Kamau,M,76.9,100.0,9,26.2,6,1296,0
Moses Chebet,F,76.6,63.4,7,0.5,4,5364,0
Kezia Mwangi,M,85.9,44.5,4,7.6,6,2040,0
Cynthia Owino,M,82.2,50.3,4,5.6,0,7279,0
Oliver Achieng,M,78.4,78.7,13,7.3,6,7894,0
James Njoroge,F,63.1,60.0,3,1.8,3,542,0
Usha Simiyu,F,82.1,32.1,6,3.4,5,7,1
Aisha Auma,F,100.0,74.5,9,8.0,7,12393,1
Esther Kariuki,F,95.2,46.0,3,1.3,6,7098,0
Dennis Owino,F,98.9,91.7,14,1.3,1,171,0
Kezia Nyambura,F,67.3,77.4,1,4.0,0,5370,0
Purity Achieng,M,60.2,49.9,3,3.7,2,1836,0
Brian Muthoni,F,73.1,81.1,12,1.7,1,899,0
Amina Waweru,F,75.8,59.2,12,1.8,0,6330,0
David Moraa,M,91.4,73.3,7,1.6,4,657,0
Zainab Otieno,F,49.6,66.7,8,7.4,7,8829,1
Irene Moraa,F,97.9,42.8,2,5.3,2,691,0
Wanjiku Rotich,M,72.6,46.4,6,8.9,4,2853,0
James Kamau,M,68.6,76.5,13,18.5,5,757,0
Kezia Mwangi,M,59.8,52.0,11,3.2,0,2367,0
Dennis Moraa,F,50.2,50.7,13,0.3,4,3456,1
Francis Auma,M,87.3,40.8,8,0.2,7,633,0
Brian Kamau,F,76.1,65.6,10,1.8,7,2207,0
James Njenga,F,55.7,95.1,3,13.5,5,1899,0
Linet Osei,F,55.6,38.8,9,3.7,7,221,0
Usha Njoroge,F,70.0,58.4,14,1.6,0,5116,0
Purity Auma,M,100.0,83.4,2,2.5,0,1227,0
Moses Mutua,M,71.1,56.6,4,4.6,7,2564,0
Usha Rotich,F,52.5,66.1,0,5.3,4,2169,1
Hassan Mwangi,M,71.3,38.9,2,0.8,0,2160,0
Naomi Muthoni,F,70.9,65.7,14,18.9,1,340,0
Robert Wekesa,F,34.5,54.6,7,3.9,7,1652,1
Oliver Kariuki,F,74.2,75.7,10,0.7,0,1806,0
Aisha Koech,M,71.5,79.4,7,11.2,3,3969,0
Usha Koech,F,85.4,100.0,14,0.4,5,5498,0
Thomas Nyambura,F,100.0,68.4,12,11.9,7,2362,0
Usha Auma,M,91.9,63.9,3,28.4,0,272,0
Yvonne Auma,M,71.0,61.5,1,6.0,3,811,0
James Kamau,M,58.4,51.6,12,7.4,0,541,0
Zainab Achieng,M,100.0,64.1,7,2.1,0,399,0
Naomi Wekesa,F,75.9,52.7,7,14.2,4,1367,0
James Kibet,M,75.2,61.0,9,3.8,1,782,0
David Kariuki,F,74.6,81.7,3,6.6,7,739,0
Naomi Waweru,M,78.0,39.9,2,12.9,5,169,0
Zainab Mutua,M,72.8,78.5,1,18.5,7,53,0
Purity Odhiambo,M,66.4,81.7,8,9.0,1,325,0
Quinter Wekesa,M,66.8,55.9,0,1.8,2,567,0
Caroline Wekesa,M,74.5,19.8,6,17.0,4,1692,1
Quinter Kariuki,M,66.8,47.1,4,4.9,4,2143,0
Caroline Koech,F,64.3,81.3,7,13.3,1,455,0
Purity Njoroge,M,76.6,57.6,3,5.6,6,1659,0
Kezia Odhiambo,M,71.2,40.0,6,1.8,4,1255,0
Zainab Adhiambo,M,97.6,48.9,12,2.3,7,608,0
Vincent Wekesa,M,35.2,73.1,4,4.0,1,21,1
Zainab Mwangi,F,91.4,67.8,14,7.8,4,1888,0
Irene Waweru,M,93.7,53.7,13,1.9,0,3472,0
Wanjiku Mutua,M,43.9,51.4,4,4.3,1,770,1
Moses Kamau,M,69.9,50.9,13,2.1,1,424,0
Brian Njenga,M,69.4,41.4,8,8.5,7,6542,0
Irene Simiyu,F,53.9,87.1,8,3.1,3,965,1
Cynthia Achieng,M,63.3,52.2,12,0.4,4,759,0
Moses Juma,F,58.3,79.9,8,0.9,4,5837,0
Vincent Kamau,M,100.0,85.4,11,0.3,1,5097,0
Hassan Achieng,F,89.0,76.0,5,3.5,0,1785,0
Purity Kamau,F,94.1,50.2,5,0.6,0,2016,0
Francis Moraa,M,85.8,65.3,4,0.6,5,737,0
Hassan Muthoni,M,58.1,57.6,8,14.2,0,245,0
Irene Osei,F,67.1,41.7,9,10.3,4,2556,0
Irene Mwangi,F,82.3,63.8,7,3.0,6,311,0
Wanjiku Waweru,M,56.7,36.8,6,21.3,3,1790,1
Cynthia Mwangi,F,85.7,79.4,6,0.0,1,8465,0
Oliver Koech,F,71.4,49.6,5,4.8,2,9162,0
Naomi Kariuki,F,69.4,61.6,4,4.8,3,821,0
Linet Simiyu,M,85.7,63.1,12,3.1,7,2935,0
Quinter Njenga,F,81.7,53.3,3,2.5,7,1928,0
Cynthia Kamau,F,69.6,68.6,2,3.0,6,6255,0
Kezia Achieng,F,92.4,49.5,2,2.7,2,950,0
Cynthia Auma,M,58.8,73.7,5,6.6,3,11,0
Thomas Mutua,M,84.2,33.8,14,0.7,0,532,1
Naomi Kamau,F,83.9,60.3,3,1.1,4,1290,0
Quinter Moraa,M,70.4,92.9,11,1.0,6,1138,0
Zainab Njoroge,F,79.9,40.0,11,1.5,2,4701,0
James Auma,M,56.2,45.8,5,3.7,6,3424,0
Dennis Wekesa,M,88.9,67.3,2,0.6,3,1068,0
Hassan Njoroge,F,72.2,61.2,14,10.1,4,1836,0
Cynthia Otieno,M,67.2,64.3,3,1.8,6,301,0
Linet Moraa,M,90.7,66.8,14,0.9,2,6853,0
Quinter Waweru,M,64.4,69.4,8,5.6,1,8220,0
Quinter Chebet,F,53.9,78.0,4,0.2,3,11707,1
Sharon Achieng,M,51.7,65.4,12,4.8,1,6087,1
Dennis Juma,M,84.1,53.7,6,6.0,0,573,0
Linet Muthoni,F,55.8,70.1,9,1.2,1,142,0
Kezia Nyambura,M,100.0,92.2,1,0.2,1,2600,0
Cynthia Juma,M,43.8,55.6,13,2.3,5,7312,1
Oliver Chebet,M,100.0,40.5,13,0.5,3,586,0
Kezia Nyambura,M,78.2,77.9,4,0.6,0,21,0
Hassan Waweru,M,73.5,55.8,8,1.5,1,4912,0
Aisha Rotich,F,66.8,18.9,10,1.8,7,240,1
Hassan Kariuki,F,81.0,73.3,2,3.8,4,1602,0
Oliver Rotich,M,74.4,48.4,13,5.7,2,3408,0
Purity Njenga,M,91.5,56.4,8,4.5,1,811,0
Aisha Juma,M,76.7,64.0,13,0.8,0,263,0
Thomas Nyambura,F,77.3,61.4,10,0.9,1,4409,0
Boniface Waweru,F,69.5,70.8,14,10.6,2,2984,0
Kezia Simiyu,M,74.1,50.2,5,4.1,0,13394,1
Caroline Achieng,M,79.6,67.2,3,10.2,3,1266,0
David Rotich,F,49.3,53.3,6,2.3,0,191,1
Irene Simiyu,M,54.8,71.3,7,4.8,3,3977,1
Purity Kariuki,F,86.1,69.1,5,3.7,0,2213,0
James Simiyu,F,77.6,41.2,4,1.9,7,719,0
Grace Wekesa,M,72.2,77.5,5,3.2,6,4566,0
Xavier Wekesa,F,75.3,48.4,4,3.5,2,684,0
Quinter Simiyu,M,80.2,72.5,7,1.1,2,906,0
Moses Juma,M,66.9,64.6,0,1.9,0,291,0
Brian Mwangi,M,63.3,91.1,10,7.8,6,1530,0
Dennis Moraa,M,77.9,54.0,6,12.4,1,1629,0
Moses Achieng,M,60.3,51.7,14,2.2,2,2168,0
Amina Chebet,M,81.1,57.7,9,1.8,7,3703,0
Caroline Njenga,F,49.5,52.5,9,1.1,3,7097,1
Thomas Mutua,F,90.4,72.4,10,5.7,3,445,0
Amina Owino,F,82.1,28.9,1,2.0,4,168,1
Xavier Simiyu,F,78.8,39.0,14,22.0,5,56,0
Dennis Mutua,M,89.7,38.8,13,2.0,6,465,0
Purity Njenga,F,100.0,75.1,8,2.5,5,3218,0
Brian Owino,F,90.2,88.8,0,4.6,5,3900,0
Kezia Njoroge,F,47.4,56.1,10,8.1,3,4632,1
Thomas Otieno,M,55.8,55.0,9,3.2,7,838,0
Caroline Rotich,F,65.6,59.3,5,2.7,7,1095,0
Thomas Njenga,M,75.4,78.9,8,27.2,4,1980,0
Naomi Njenga,F,82.8,41.3,0,0.1,5,196,0
Aisha Juma,M,64.1,62.3,3,11.3,5,2834,0
Quinter Koech,M,77.8,75.6,3,0.8,0,12356,1
Quinter Wekesa,F,63.7,67.0,14,7.7,0,1343,0
Vincent Osei,M,65.8,61.4,8,4.8,0,4193,0
Dennis Rotich,M,53.9,76.0,10,2.1,1,2080,1
Oliver Auma,F,61.2,9.3,4,10.4,5,410,1
Boniface Kibet,F,54.7,70.2,4,0.1,7,2619,1
Naomi Osei,F,60.4,46.2,5,1.3,7,1069,0
Moses Mutua,M,90.8,25.0,0,4.2,1,105,1
Grace Mutua,M,60.8,67.2,0,2.2,7,3023,0
Thomas Mwangi,M,100.0,82.7,14,4.7,4,5876,0
Naomi Kariuki,F,82.4,55.5,8,0.1,6,1268,0
Naomi Adhiambo,M,77.8,75.2,2,0.6,3,1484,0
Yvonne Moraa,M,62.1,87.0,3,0.7,5,6650,0
Linet Koech,M,85.5,81.7,0,1.0,7,5040,0
Caroline Nyambura,M,66.4,87.5,8,3.1,3,3765,0
Vincent Adhiambo,M,76.8,71.4,14,7.0,7,858,0
Yvonne Wekesa,M,100.0,59.4,7,11.8,6,7231,0
Brian Moraa,M,73.6,29.2,1,9.0,0,503,1
Thomas Osei,F,92.2,53.6,7,1.1,5,2957,0
Hassan Chebet,F,64.5,42.8,14,2.9,2,88,0
Irene Kamau,F,74.5,97.1,6,1.1,1,3096,0
Yvonne Kibet,M,100.0,54.8,10,1.5,1,974,0
Esther Kibet,M,65.6,60.2,5,3.5,5,1792,0
Caroline Njoroge,F,100.0,67.9,0,0.4,6,1271,0
Purity Moraa,M,85.6,58.8,14,1.2,0,569,0
Purity Simiyu,F,66.6,88.5,6,13.7,1,2918,0
Thomas Mutua,M,84.5,46.8,9,3.1,0,6411,0
Amina Moraa,M,89.6,61.5,6,2.9,4,9589,0
Cynthia Kariuki,F,84.3,44.6,12,0.1,3,641,0
Vincent Chebet,F,51.4,34.2,13,1.4,6,3791,1
David Auma,F,64.1,47.0,8,10.1,2,3275,0
Oliver Achieng,F,71.3,57.3,0,0.9,3,1262,0
Robert Otieno,F,73.9,50.3,1,2.7,3,58,0
James Owino,M,84.3,45.5,10,0.1,4,3512,0
Grace Mutua,M,77.7,32.7,8,3.3,1,8728,1
Amina Koech,M,55.0,56.5,12,0.1,2,3000,0
Quinter Muthoni,F,80.7,30.9,8,8.6,1,1714,1
Grace Wekesa,F,84.2,71.7,12,8.7,5,2234,0
Yvonne Adhiambo,F,83.4,59.5,5,7.7,3,668,0
Caroline Mutua,F,91.2,31.8,5,1.7,5,4165,1
Cynthia Mutua,F,87.5,52.4,3,9.1,0,4116,0
Esther Kibet,F,81.9,44.5,3,3.9,3,472,0
Linet Nyambura,M,73.9,63.7,4,2.3,1,6311,0
Esther Otieno,M,50.1,82.1,2,4.9,3,941,1
Irene Achieng,M,81.4,24.2,0,0.1,0,12095,1
Grace Kamau,M,78.1,60.1,14,0.8,4,1448,0
Wanjiku Kibet,M,79.1,55.1,0,6.8,5,588,0
Aisha Juma,F,55.8,70.1,11,1.4,7,1300,0
Purity Achieng,F,58.8,61.8,14,4.6,5,1740,0
Moses Wekesa,F,90.8,44.5,12,2.4,1,215,0
Thomas Owino,F,74.4,52.3,6,9.6,3,2590,0
Francis Waweru,F,85.2,43.7,0,15.2,1,2731,0
Amina Auma,F,75.4,77.4,0,10.8,4,4029,0
Sharon Achieng,M,75.4,58.4,2,1.6,3,89,0
Moses Njoroge,F,89.1,92.2,9,1.1,7,2338,0
Wanjiku Simiyu,F,67.3,56.9,14,3.2,3,163,0
Oliver Koech,F,76.4,45.2,3,0.0,7,3623,0
Linet Chebet,F,68.1,30.8,3,0.1,1,172,1
David Osei,M,68.5,25.5,1,4.0,1,7282,1
Xavier Waweru,M,70.4,29.5,0,3.7,0,3633,1
Sharon Achieng,F,78.3,62.8,2,26.1,6,2124,0
James Waweru,M,67.8,67.2,10,1.1,6,1748,0
Thomas Achieng,M,93.8,29.5,3,1.5,4,420,1
Moses Rotich,F,61.6,74.1,2,0.6,6,1032,0
Kezia Rotich,F,72.2,49.3,7,12.5,0,6097,0
Dennis Auma,F,68.4,60.6,13,7.5,5,7044,0
Dennis Rotich,F,96.7,87.0,9,8.6,7,2,0
Purity Muthoni,F,77.9,74.1,0,11.7,3,2705,0
Thomas Rotich,M,90.5,53.2,13,3.7,1,3811,0
Usha Koech,F,52.7,42.0,1,3.0,3,2893,1
Irene Auma,F,79.0,19.3,12,2.0,3,256,1
Dennis Otieno,F,88.3,45.1,6,4.4,2,737,0
Thomas Owino,M,76.2,54.2,3,3.0,5,864,0
Naomi Osei,F,91.0,40.2,7,3.0,2,5346,0
Quinter Njoroge,F,67.2,55.6,10,13.8,6,1866,0
Esther Muthoni,F,96.1,59.4,12,20.7,3,2001,0
Irene Otieno,M,100.0,54.0,2,8.0,7,8195,0
Sharon Kibet,F,69.6,46.3,5,7.1,1,3041,0
Irene Moraa,F,68.3,61.0,8,5.7,7,6868,0
Dennis Auma,F,96.8,66.0,0,0.9,3,1829,0
Purity Osei,M,98.7,38.4,0,0.3,5,486,0
Brian Chebet,F,67.2,83.4,7,5.9,7,7975,0
Naomi Osei,F,68.7,56.2,2,6.5,2,1841,0
Zainab Njenga,F,70.8,58.3,4,0.2,1,601,0
Oliver Mutua,M,54.8,70.7,0,13.2,3,1080,1
Linet Njenga,F,61.2,62.2,4,0.5,4,156,0
Naomi Adhiambo,F,59.9,75.2,10,1.7,5,1895,0
Oliver Kibet,F,63.5,63.2,5,5.6,5,5755,0
Oliver Wekesa,M,74.5,47.0,7,0.9,4,8135,0
Hassan Kamau,M,78.5,64.5,12,0.3,7,8091,0
Brian Mwangi,F,98.3,37.4,13,2.0,3,401,0
Cynthia Kibet,M,60.0,60.0,2,7.3,5,1444,0
Quinter Njoroge,M,89.8,57.4,2,2.7,1,86,0
Boniface Kibet,M,71.8,54.3,11,5.3,3,5796,0
David Chebet,F,74.3,55.7,10,4.3,3,1333,0
Usha Mwangi,F,85.1,24.1,10,0.1,2,2992,1
Caroline Osei,M,58.2,48.1,9,22.3,5,3765,1
David Osei,M,80.7,59.7,8,0.2,5,1686,0
Quinter Owino,M,77.5,60.9,3,17.2,4,1098,0
Grace Kibet,F,82.4,39.5,14,4.0,2,9827,0
Thomas Mutua,F,79.3,80.8,3,16.5,7,10014,0
Moses Kamau,M,100.0,42.4,11,0.6,6,1025,0
Boniface Wekesa,M,65.4,75.5,6,3.4,7,1960,0
Xavier Simiyu,M,67.0,65.7,1,0.9,7,10818,0
Xavier Koech,M,65.7,46.4,7,0.3,2,15,0
Aisha Moraa,F,66.7,90.0,5,4.8,5,1597,0
Oliver Mwangi,M,65.4,36.5,2,1.2,3,318,0
Irene Achieng,F,92.8,74.5,8,4.4,2,2135,0
Thomas Osei,M,96.3,76.0,4,0.6,4,75,0
Quinter Rotich,M,66.4,45.9,7,2.0,2,1567,0
James Muthoni,M,62.5,83.1,6,7.6,4,748,0
Dennis Auma,M,82.1,53.5,13,2.9,7,2286,0
Oliver Kariuki,M,66.7,63.2,7,4.9,6,16560,1
Grace Owino,F,84.5,62.7,6,5.2,2,4836,0
Francis Njoroge,M,78.0,55.6,2,9.3,4,5605,0
Linet Juma,M,52.3,72.6,1,2.0,2,3026,1
Naomi Rotich,M,98.2,72.3,6,5.8,6,127,0
Wanjiku Mwangi,F,100.0,26.5,2,16.3,7,695,1
Vincent Nyambura,F,65.8,81.5,2,6.6,2,7773,0
Oliver Odhiambo,F,69.2,28.1,1,3.4,1,1368,1
Zainab Achieng,F,79.3,76.6,3,5.0,4,328,0
James Mwangi,M,80.0,78.3,7,6.7,6,3636,0
Purity Odhiambo,M,84.9,38.4,11,4.7,4,1068,0
Boniface Muthoni,M,100.0,50.6,0,0.1,4,939,0
Wanjiku Otieno,F,72.3,38.1,0,1.1,0,18610,1
Robert Koech,M,63.0,54.1,11,8.3,6,5859,0
Oliver Juma,M,54.3,52.5,13,1.6,2,1572,1
Thomas Muthoni,F,64.0,72.0,4,6.6,4,11776,0
Xavier Rotich,F,74.5,81.6,10,2.3,5,3150,0
David Mutua,F,100.0,83.1,4,3.7,0,4065,0
Irene Odhiambo,M,67.2,47.9,10,0.4,1,96,0
James Kibet,M,78.4,54.2,11,1.0,4,389,0
Moses Njoroge,F,74.8,27.7,0,15.8,7,3008,1
Linet Moraa,M,92.8,43.5,5,11.0,4,6879,0
Xavier Wekesa,F,100.0,75.4,0,5.3,0,2932,0
Zainab Osei,F,67.0,87.1,4,3.1,2,432,0
Purity Moraa,M,67.7,35.8,8,5.6,5,369,0
